SUPPORT,PRESENCE_IN_ALL,PRESENCE_IN_BENIGN,PRESENCE_IN_MALWARE,SUPPORT_IN_ALL,SUPPORT_IN_BENIGN,SUPPORT_IN_MALWARE
PAGEDATA,25,25,0,0.10%,0.10%,0.00%
/56,1,1,0,0.00%,0.00%,0.00%
DUMPDATA,1,1,0,0.00%,0.00%,0.00%
/14,40,10,30,0.20%,0.10%,0.50%
xamgnut,1,0,1,0.00%,0.00%,0.00%
PACK,1,0,1,0.00%,0.00%,0.00%
tvfzrmj,1,0,1,0.00%,0.00%,0.00%
.zero,9,0,9,0.00%,0.00%,0.10%
.extrel,26,26,0,0.10%,0.20%,0.00%
.QXT,1,0,1,0.00%,0.00%,0.00%
ffB6YnLb,1,0,1,0.00%,0.00%,0.00%
1Noc,1,0,1,0.00%,0.00%,0.00%
.eh_fram,25,10,15,0.10%,0.10%,0.20%
/51,2,2,0,0.00%,0.00%,0.00%
/113,2,2,0,0.00%,0.00%,0.00%
.pmj,3,0,3,0.00%,0.00%,0.00%
evpeiql,1,0,1,0.00%,0.00%,0.00%
ilibiil,1,0,1,0.00%,0.00%,0.00%
.sdata,66,7,59,0.30%,0.00%,0.90%
.srdata,1,1,0,0.00%,0.00%,0.00%
.kYamD8,1,0,1,0.00%,0.00%,0.00%
MH,2,0,2,0.00%,0.00%,0.00%
PAGEPARW,1,1,0,0.00%,0.00%,0.00%
relocs,8,0,8,0.00%,0.00%,0.10%
polfpij,1,0,1,0.00%,0.00%,0.00%
aymbupb,1,0,1,0.00%,0.00%,0.00%
PAGERPCD,4,4,0,0.00%,0.00%,0.00%
/70,195,164,31,0.80%,1.00%,0.50%
stxt371,1,0,1,0.00%,0.00%,0.00%
/81,194,163,31,0.80%,1.00%,0.50%
/30,1,1,0,0.00%,0.00%,0.00%
i=V=,1,0,1,0.00%,0.00%,0.00%
.ex_cod,1,0,1,0.00%,0.00%,0.00%
PAGELOCK,1,1,0,0.00%,0.00%,0.00%
dlcnczf,1,0,1,0.00%,0.00%,0.00%
.CODE,1,0,1,0.00%,0.00%,0.00%
.textx9o,1,0,1,0.00%,0.00%,0.00%
.jmdata,1,0,1,0.00%,0.00%,0.00%
t,3,0,3,0.00%,0.00%,0.00%
.zrdata,1,0,1,0.00%,0.00%,0.00%
.rrdata,6,0,6,0.00%,0.00%,0.10%
qwairco,1,0,1,0.00%,0.00%,0.00%
pdkyual,1,0,1,0.00%,0.00%,0.00%
.clam04,6,0,6,0.00%,0.00%,0.10%
.NewIT,1,0,1,0.00%,0.00%,0.00%
.cas,1,0,1,0.00%,0.00%,0.00%
.dtd,4,0,4,0.00%,0.00%,0.10%
krxtrms,1,0,1,0.00%,0.00%,0.00%
/71,3,3,0,0.00%,0.00%,0.00%
.xdata,1518,1494,24,6.50%,8.90%,0.40%
uuyrffy,1,0,1,0.00%,0.00%,0.00%
.VCrypt1,3,0,3,0.00%,0.00%,0.00%
xjfwwel,1,0,1,0.00%,0.00%,0.00%
.RGvaB,15,0,15,0.10%,0.00%,0.20%
